Sample_ID,Site,PFAS_type,Conc_ppb,Sample_type,Size_class
HB_w1_end,Hop Brook,PFDoA,0,Water,NA
HB_w1_end,Hop Brook,PFTrDA,0,Water,NA
HB_w1_end,Hop Brook,PFTA,0,Water,NA
HB_w2_end,Hop Brook,PFBA,0,Water,NA
HB_w2_end,Hop Brook,PFPeA,0,Water,NA
HB_w2_end,Hop Brook,PFBS,0.0039,Water,NA
HB_w2_end,Hop Brook,PFHxA,0.0031,Water,NA
HB_w2_end,Hop Brook,42FTS,0,Water,NA
HB_w2_end,Hop Brook,PFPeS,0,Water,NA
HB_w2_end,Hop Brook,GenX,0,Water,NA
HB_w2_end,Hop Brook,ADONA,0,Water,NA
HB_w2_end,Hop Brook,PFHpA,0.0045,Water,NA
HB_w2_end,Hop Brook,PFHxS,0,Water,NA
HB_w2_end,Hop Brook,PFOA,0,Water,NA
HB_w2_end,Hop Brook,PFHpS,0,Water,NA
HB_w2_end,Hop Brook,6:2FTS,0,Water,NA
HB_w2_end,Hop Brook,9Cl-PF3ONS,0,Water,NA
HB_w2_end,Hop Brook,PFNA,0,Water,NA
HB_w2_end,Hop Brook,PFOS,0.003,Water,NA
HB_w2_end,Hop Brook,PFNS,0,Water,NA
HB_w2_end,Hop Brook,8:2FTS,0,Water,NA
HB_w2_end,Hop Brook,PFDA,0,Water,NA
HB_w2_end,Hop Brook,NMeFOSAA,0,Water,NA
HB_w2_end,Hop Brook,PFOSA,0,Water,NA
HB_w2_end,Hop Brook,PFDS,0,Water,NA
HB_w2_end,Hop Brook,NEtFOSAA,0,Water,NA
HB_w2_end,Hop Brook,11-ClPF3OUdS,0,Water,NA
HB_w2_end,Hop Brook,PFUnA,0,Water,NA
HB_w2_end,Hop Brook,PFDoA,0,Water,NA
HB_w2_end,Hop Brook,PFTrDA,0,Water,NA
HB_w2_end,Hop Brook,PFTA,0,Water,NA
HB_w3_end,Hop Brook,PFBA,0,Water,NA
HB_w3_end,Hop Brook,PFPeA,0,Water,NA
HB_w3_end,Hop Brook,PFBS,0.0039,Water,NA
HB_w3_end,Hop Brook,PFHxA,0.0029,Water,NA
HB_w3_end,Hop Brook,42FTS,0,Water,NA
HB_w3_end,Hop Brook,PFPeS,0,Water,NA
HB_w3_end,Hop Brook,GenX,0,Water,NA
HB_w3_end,Hop Brook,ADONA,0,Water,NA
HB_w3_end,Hop Brook,PFHpA,0,Water,NA
HB_w3_end,Hop Brook,PFHxS,0,Water,NA
HB_w3_end,Hop Brook,PFOA,0,Water,NA
HB_w3_end,Hop Brook,PFHpS,0,Water,NA
HB_w3_end,Hop Brook,6:2FTS,0,Water,NA
HB_w3_end,Hop Brook,9Cl-PF3ONS,0,Water,NA
HB_w3_end,Hop Brook,PFNA,0,Water,NA
HB_w3_end,Hop Brook,PFOS,0.0028,Water,NA
HB_w3_end,Hop Brook,PFNS,0,Water,NA
HB_w3_end,Hop Brook,8:2FTS,0,Water,NA
HB_w3_end,Hop Brook,PFDA,0,Water,NA
HB_w3_end,Hop Brook,NMeFOSAA,0,Water,NA
HB_w3_end,Hop Brook,PFOSA,0,Water,NA
HB_w3_end,Hop Brook,PFDS,0,Water,NA
HB_w3_end,Hop Brook,NEtFOSAA,0,Water,NA
HB_w3_end,Hop Brook,11-ClPF3OUdS,0,Water,NA
HB_w3_end,Hop Brook,PFUnA,0,Water,NA
HB_w3_end,Hop Brook,PFDoA,0,Water,NA
HB_w3_end,Hop Brook,PFTrDA,0,Water,NA
HB_w3_end,Hop Brook,PFTA,0,Water,NA
Rat_W1_421,Ratlum Brook,PFBA,0,Water,NA
