Sample_ID,Site,Sample_type,Size_class,PFBA,PFPeA,PFBS,PFHxA,4:2FTS,PFPeS,GenX,ADONA,PFHpA,PFHxS,PFOA,PFHpS,6:2FTS,9Cl-PF3ONS,PFNA,PFOS,PFNS,8:2FTS,PFDA,NMeFOSAA,PFOSA,PFDS,NEtFOSAA,11-ClPF3OUdS,PFUnA,PFDoA,PFTrDA,PFTA
RB_E_Dip1,Russell Brook,Emergent_Diptera,NA,0,0,0,0,0,0,0,0,0,0.94,0,0,0,0,30.4,31.8,0,0,0,0,0,0,0,0,0,0,0,0
RB_E_Dip2,Russell Brook,Emergent_Diptera,NA,0,0,0,0,0,0,0,0,0,0.48,0,0,0,0,35.26,25.73,0,0,0,0,0,0,0,0,0,0,0,0
RB_E_Dip3,Russell Brook,Emergent_Diptera,NA,0,0,0,0,0,0,0,0,0,0,0,0,6.07,0,41.14,33.05,0,0,0,0,0,0,0,0,0,0,0,0
HB_B_dip1,Hop Brook,Larval_Diptera,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HB_B_dip2,Hop Brook,Larval_Diptera,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HB_B_dip3,Hop Brook,Larval_Diptera,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RB_B_Dip1,Russell Brook,Larval_Diptera,NA,0,0,0,0,0,0,0,0,0,0,0.58,0,0,0,12.82,15.54,0,0,0,0,0,0,0,0,4.27,0,0,0
RB_B_Dip2,Russell Brook,Larval_Diptera,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.69,11.74,0,0,0,0,0,0,0,0,0,0,0,0
RB_B_Dip3,Russell Brook,Larval_Diptera,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.56,0,0,0,0,0,0,0,0,0,0,0,0
RB_B_Dip4,Russell Brook,Larval_Diptera,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41,0,0,0,0,0,0,0,0,0,0,0,0
HB_E_eph1,Hop Brook,Emergent_Ephemeroptera,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.36,0,0,0,0,0,0,0,0,0,0,0,0
HB_E_eph2,Hop Brook,Emergent_Ephemeroptera,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.67,0,0,0,0,0,0,0,0,0,0,0,0
HB_B_eph1,Hop Brook,Larval_Ephemeroptera,NA,0,0,0,0,0,0,0,0,0,0,4.97,0,0,0,0,24.83,0,0,0,0,0,0,0,0,0,0,0,0
HB_B_eph2,Hop Brook,Larval_Ephemeroptera,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.66,0,0,0,0,0,0,0,0,0,0,0,0
HB_B_eph3,Hop Brook,Larval_Ephemeroptera,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.16,0,0,0,0,0,0,0,0,0,0,0,0
HB_B_mega1,Hop Brook,Larval_Megaloptera,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.86,0,0,0,0,0,0,0,0,0,0,0,0
HB_B_mega2,Hop Brook,Larval_Megaloptera,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.48,0,0,0,0,0,0,0,0,0,0,0,0
HB_B_mega3,Hop Brook,Larval_Megaloptera,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
HB_E_odon1,Hop Brook,Emergent_Odonata,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0
HB_E_odon2,Hop Brook,Emergent_Odonata,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0
HB_E_odon3,Hop Brook,Emergent_Odonata,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0
HB_E_odon4,Hop Brook,Emergent_Odonata,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56,0,0,0,0,0,0,0,0,0,0,0,0
HB_E_odon5,Hop Brook,Emergent_Odonata,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.16,0,0,0,0,0,0,0,0,0,0,0,0
HB_B_Odon1,Hop Brook,Larval_Odonata,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.48,0,0,0,0,0,0,0,0,0,0,0,0
HB_B_Odon2,Hop Brook,Larval_Odonata,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0
HB_B_Odon3,Hop Brook,Larval_Odonata,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75,0,0,0,0,0,0,0,0,0,0,0,0
HB_B_Odon4,Hop Brook,Larval_Odonata,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.48,0,0,0,0,0,0,0,0,0,0,0,0
HB_B_Odon5,Hop Brook,Larval_Odonata,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74,0,0,0,0,0,0,0,0,0,0,0,0
